"name","website","status","email_found","source_url","all_candidates"
"Manchester Care Homes Spring Valley","https://manchestercarehomes.com","no-email-found","","",""
"Assisted Living Locators Northeast Dallas","https://northeast-dallas.assistedlivinglocators.com","no-email-found","","",""
"The Villages of Dallas","http://thevillagesofdallas.com","no-email-found","","",""
"Whiterock Court - Sky Active Living","https://whiterockcourtseniorliving.com","found","info@discoverymgt.com","https://whiterockcourtseniorliving.com/contact-us","info@discoverymgt.com"
"Parsons House Preston Hollow","https://www.parsonshouseprestonhollow.com","no-email-found","","",""
"Presbyterian Village North","https://presvillagenorth.org","no-email-found","","",""
"Brookdale Lake Highlands","https://www.brookdale.com","no-email-found","","",""
"The Villa at Mountain View","https://cantexcc.com","no-email-found","","",""
"Juliette Fowler Communities","https://www.fowlercommunities.org","found","info@fowlercommunities.org","https://www.fowlercommunities.org","info@fowlercommunities.org; jamiejrodgers@gmail.com; jamier@fowlercommunities.org"
"Manchester Care Homes St. Michaels","https://manchestercarehomes.com","no-email-found","","",""
"Lakewest Assisted Living","https://lakewestal.com","found","referrals@stonegatecic.com","https://lakewestal.com","referrals@stonegatecic.com; director@lakewestal.com"
"Magnolia Assisted Living Care Home","https://www.magnoliacarehomes.com","no-email-found","","",""
"Ventana by Buckner","https://www.ventanabybuckner.com","no-email-found","","",""
"The Preserve at Spring Creek","https://frontiermgmt.com","no-email-found","","",""
"The Tradition-Prestonwood Assisted Living & Memory Care","https://www.traditionseniorliving.com","no-email-found","","",""
"St Joseph's Residence Inc.","http://www.stjr.org","found","officeassistant@stjr.org","http://www.stjr.org","officeassistant@stjr.org"
"The Waterford at Mesquite","https://www.sonidaseniorliving.com","no-email-found","","",""
"The Remington at Valley Ranch","https://www.sonidaseniorliving.com","no-email-found","","",""
"New Horizon Homes","https://www.nhresidentialcare.com","found","info@nhresidentialcare.com","https://www.nhresidentialcare.com","info@nhresidentialcare.com"
"Highpoint Senior Living","http://www.highpointseniorliving.com","no-email-found","","",""
"Duncanville Senior Living","http://www.duncanvilleseniorliving.com","no-email-found","","",""
"Visiting Angels Senior Home Care Dallas - Park Cities","https://www.visitingangels.com","found","customersupport@visitingangels.com","https://www.visitingangels.com/contact","customersupport@visitingangels.com"
"Simpson Place Assisted Living","https://simpsonplacedallas.com","found","referrals@stonegatecic.com","https://simpsonplacedallas.com/contact","referrals@stonegatecic.com; administrator@simpsonplacedallas.com"
"Parkview in Frisco","https://parkviewinfriscoseniorliving.com","found","info@discoverymgt.com","https://parkviewinfriscoseniorliving.com/contact-us","info@discoverymgt.com"
"West Fork Village","https://12oaks.net","no-email-found","","",""
"Golden Acres Living and Rehabilitation","http://goldenacresliving.com","no-email-found","","",""
"CC Young Senior Living","https://www.ccyoung.org","no-email-found","","",""
"Watermere at Frisco","https://www.integratedseniorlifestyles.com","no-email-found","","",""
"Grand Brook Memory Care of Garland","https://grandbrook.com","found","info@constantcare.com","https://grandbrook.com","info@constantcare.com"
"Grand Brook Memory Care of Carrollton – Alzheimer’s & Dementia Assisted Living","https://grandbrook.com","found","info@constantcare.com","https://grandbrook.com","info@constantcare.com"
"Iris Memory Care of Rowlett","https://www.irisseniorliving.com","found","support@irisseniorliving.com","https://www.irisseniorliving.com/contact-us","support@irisseniorliving.com; sales@irisseniorliving.com"
"Fair Park Health & Rehabilitation Center","https://fairparknursing.com","no-email-found","","",""
"Village Green Memory Care Community Rockwall","https://villagegreenalzheimerscare.com","found","info@villagegreenalzheimerscare.com","https://villagegreenalzheimerscare.com","info@villagegreenalzheimerscare.com"
"Silvermark Assisted Living & Memory Care","https://www.silvermarkmemorycare.com","found","support@silvermarkmemorycare.com","https://www.silvermarkmemorycare.com","support@silvermarkmemorycare.com"
"Hope Springs Memory Care","https://hopespringsmemorycare.com","found","ed@hopespringsmemorycare.com","https://hopespringsmemorycare.com","ed@hopespringsmemorycare.com"
"Grand Brook Memory Care of Grapevine","https://grandbrook.com","found","info@constantcare.com","https://grandbrook.com","info@constantcare.com"
"The Senior Source","https://www.theseniorsource.org","found","info@theseniorsource.org","https://www.theseniorsource.org/contact","info@theseniorsource.org"
"Silverado Southlake Memory Care Community","http://www.silverado.com","found","info@silverado.com","http://www.silverado.com/contact","info@silverado.com"
"Mayberry Gardens Assisted Living and Memory Care Homes","https://www.mayberrygardens.com","found","info@mayberrygardens.com","https://www.mayberrygardens.com/contact","info@mayberrygardens.com"
"Avalon Memory Care","http://www.avalonmemorycare.com","no-email-found","","",""
"Arbor Hills Memory Care Community","https://koelschseniorcommunities.com","found","info@koelschsenior.com","https://koelschseniorcommunities.com/contact","info@koelschsenior.com"
"Brookdale White Rock","https://www.brookdale.com","no-email-found","","",""
"Encore Memory Care Day Center","http://www.encoredaycare.com","no-email-found","","",""
"Manchester Care Homes Queens Ferry","https://manchestercarehomes.com","no-email-found","","",""
"Cambridge Caregivers","https://cambridgecaregivers.com","no-email-found","","",""
"Integrity Residential Care, LLC","https://integrityresidentialcare.com","no-email-found","","",""
"B & Y Care Home","https://www.bandycarehomes.com","found","brettonbayhome@gmail.com","https://www.bandycarehomes.com","brettonbayhome@gmail.com; inquire@zdigital.com"
"Long Creek Assisted Living and Memory Care","https://www.civitasseniorliving.com","found","info@csrliving.com","https://www.civitasseniorliving.com","info@csrliving.com"
"Oak Ridge Alzheimer's Special Care Center","https://sinceriseniorliving.com","no-email-found","","",""
"A Caring Home With Friends","https://acaringhomewithfriends.com","found","astigma@astigmatic.com","https://acaringhomewithfriends.com","astigma@astigmatic.com; matt@pixelspread.com; impallari@gmail.com; hello@rfuenzalida.com"
"Kristi’s Senior Solutions","http://www.kristisseniorsolutions.com","found","kristi@kristisseniorsolutions.com","http://www.kristisseniorsolutions.com","kristi@kristisseniorsolutions.com; your@email.com"
"Bader House Memory Care","https://baderhouse.com","no-email-found","","",""
"AvilaCare Memory Care of Lewisville","https://avilacare.com","no-email-found","","",""
"River Oaks Assisted Living & Memory Care","https://legendseniorliving.com","no-email-found","","",""
"Arden Courts (Richardson)","https://www.arden-courts.com","no-email-found","","",""
"Rock Ridge Assisted Living and Memory Care","https://legendseniorliving.com","no-email-found","","",""
"Assisting Hands Home Care - Dallas, Richardson & Surrounding Areas","https://assistinghands.com","no-email-found","","",""
"Sunrise of Fort Worth","https://www.sunriseseniorliving.com","no-email-found","","",""
"Luxe Life Senior Living and Memory Care Fort Worth","https://www.luxelifeseniorliving.com","found","info@ignitemedicalresorts.com","https://www.luxelifeseniorliving.com","info@ignitemedicalresorts.com"
"Senior Living Specialists","http://www.seniorlivingspecialists.com","found","paul@seniorlivingspecialists.com","http://www.seniorlivingspecialists.com/contact-us","paul@seniorlivingspecialists.com"
"Legend of Fort Worth","https://legendseniorliving.com","no-email-found","","",""
"Lotus Assisted Living Facility LLC","https://www.lotuslivingfacility.com","found","info@lotuslivingfacility.com","https://www.lotuslivingfacility.com","info@lotuslivingfacility.com"
"The Ridglea Senior Living","https://www.civitasseniorliving.com","found","info@csrliving.com","https://www.civitasseniorliving.com","info@csrliving.com"
"Timeless Care Homes","https://www.timelesscarehomes.com","found","admin@timelesscarehomes.com","https://www.timelesscarehomes.com","admin@timelesscarehomes.com"
"Brookdale Tanglewood Oaks","https://www.brookdale.com","no-email-found","","",""
"Discovery Village Alliance Town Center","https://discoveryvillagealliancetowncenter.seniorlivingnearme.com","no-email-found","","",""
"Chisholm Trail Senior Living","https://silvercareliving.com","no-email-found","","",""
"The Monarch at Richardson","https://www.monarchseniorliving.com","no-email-found","","",""
"At Home Personal Care - Home Health Care, In-Home Care, Caregivers, and Personal Care for Dallas and Fort Worth","https://www.athomeprctexas.com","no-email-found","","",""
"Ridgmar Place","https://www.pegasusseniorliving.com","no-email-found","","",""
"Pegasus Landing of North Riverside","https://www.pegasusseniorliving.com","no-email-found","","",""
"Broadway Cityview","https://www.broadwaycityviewseniorliving.com","found","life@broadwaycityviewseniorliving.com","https://www.broadwaycityviewseniorliving.com","life@broadwaycityviewseniorliving.com"
"Wholehearted Senior Living at River Park","https://wholeheartedseniorliving.com","found","sales@wholeheartedseniorliving.com","https://wholeheartedseniorliving.com","sales@wholeheartedseniorliving.com"
"The Emberly at Heritage Glen","https://thrivesl.com","found","communityrelations@thrivesl.com","https://thrivesl.com","communityrelations@thrivesl.com"
"Bethesda Gardens Assisted Living and Memory Care Fort Worth","https://www.bethesdagardensftworth.com","no-email-found","","",""
"The Westmore Senior Living","https://www.westmorelife.com","no-email-found","","",""
"The Waterford at Fort Worth","https://www.sonidaseniorliving.com","no-email-found","","",""
"The Vantage at Cityview","https://www.arborcompany.com","no-email-found","","",""
"Manor Independent Living","https://manorindependentliving.com","found","rentals@egrepm.com","https://manorindependentliving.com","rentals@egrepm.com"
"Bristol Park at Eagle Mountain Assisted Living & Memory Care","https://www.bristolparkeaglemountain.com","no-email-found","","",""
"Discovery Village at Alliance Town Center","https://www.discoveryvillages.com","no-email-found","","",""
"Garden Terrace at Fort Worth","https://lcca.com","no-email-found","","",""
"Stevenson Oaks","https://www.mrcstevensonoaks.org","no-email-found","","",""
"Mirabella Assisted Living & Memory Care","https://www.mirabellalife.com","no-email-found","","",""
"The Spring at Silverton","https://www.springatsilverton.com","no-email-found","","",""
"Brookdale Westover Hills","https://www.brookdale.com","no-email-found","","",""
"Sedona Place","http://www.sedonaplaceseniorliving.com","found","sedonaplace@willowbridgepc.com","http://www.sedonaplaceseniorliving.com","sedonaplace@willowbridgepc.com"
"Sparks Assisted Living","","no-website","","",""
"Trinity Terrace","https://www.trinityterrace.org","no-email-found","","",""
"The Tradition-Clearfork Independent Living","https://www.traditionseniorliving.com","no-email-found","","",""
"Ignite Medical Resort Fort Worth","https://www.ignitemedicalresorts.com","found","info@ignitemedicalresorts.com","https://www.ignitemedicalresorts.com","info@ignitemedicalresorts.com"
"Fleurdleys Assisted Living","http://www.fleurdleys.com","no-email-found","","",""
"Palm House Senior Apartments","https://www.palmhouseapts.com","no-email-found","","",""
"St. John's Residential Care Homes Inc.","https://www.stjohnscarehome.com","no-email-found","","",""
"Visiting Angels Senior Home Care Fort Worth","https://www.visitingangels.com","found","customersupport@visitingangels.com","https://www.visitingangels.com/contact","customersupport@visitingangels.com"
"Serenity View Assisted Living And Memory Care","https://www.serenityview.us","found","info@serenityview.us","https://www.serenityview.us/contact","info@serenityview.us"
"Senior Living Specalists - Fort Worth","https://fortworthseniorhousing.com","found","lisa@seniorlivingspecialists.com","https://fortworthseniorhousing.com","lisa@seniorlivingspecialists.com"
"Colonial Gardens Alzheimer’s Assisted Living of Texas","","no-website","","",""
"Lighthouse Senior Living Fort Worth","","no-website","","",""
"Pegasus Landing of North Richland Hills","https://www.pegasusseniorliving.com","no-email-found","","",""
"Edition of Saginaw","https://www.editionofsaginaw.com","no-email-found","","",""
"Autumn Leaves of Cityview","http://autumnleaves.com","no-email-found","","",""
"Fort Worth Transitional Care Center","https://wellsentialhealth.org","no-email-found","","",""
"The Tradition-Clearfork Assisted Living and Memory Care","https://www.traditionseniorliving.com","no-email-found","","",""
"Heritage Place Assisted Living & Memory Care","https://www.heritageplaceassistedliving.com","no-email-found","","",""
"Fort Worth Wellness and Rehab","http://fortworthwellnessandrehab.com","found","admissions@fortworthwellnessandrehab.com","http://fortworthwellnessandrehab.com","admissions@fortworthwellnessandrehab.com"
"Renaissance Park Multi Care Center","https://lcca.com","no-email-found","","",""
"Arbor Lake Nursing and Rehabilitation","http://arborlakenursing.com","found","info@arborlakenursing.com","http://arborlakenursing.com","info@arborlakenursing.com"
"The Stayton at Museum Way","https://thestayton.com","no-email-found","","",""
"TheKey - Senior Home Care","https://thekey.com","found","hello@thekey.care","https://thekey.com","hello@thekey.care"
"Brookdale Watauga","https://www.brookdale.com","no-email-found","","",""
"James L. West Center for Dementia Care","http://www.jameslwest.org","no-email-found","","",""
"Dementia Friendly Fort Worth","http://www.dffw.org","found","info@mysite.com","http://www.dffw.org","info@mysite.com; info@dementiafriendlyfw.org"
"James L West Presbyterian","","no-website","","",""
"Aviva Fort Worth","https://www.avivafortworth.com","no-email-found","","",""
"Meadowbrook Memory Care Community","https://koelschseniorcommunities.com","found","info@koelschsenior.com","https://koelschseniorcommunities.com/contact","info@koelschsenior.com"
"Teresa’s House Assisted Living & Memory Care","https://teresashouse.com","no-email-found","","",""
"Heritage Place Independent Living","https://www.heritageplaceindependentliving.com","no-email-found","","",""
"Brookdale Oak Hollow","https://www.brookdale.com","no-email-found","","",""
"Overture Home Care","https://www.overturehomecare.com","found","info@overturehomecare.com","https://www.overturehomecare.com","info@overturehomecare.com; paige@overturehomecare.com"
"Family Tree Private Care","https://familytreecares.com","no-email-found","","",""
"Village Creek Wellness and Rehabilitation","https://villagecreekwellnessandrehab.com","found","info@villagecreekwellnessandrehab.com","https://villagecreekwellnessandrehab.com","info@villagecreekwellnessandrehab.com"
"Heritage Vue Assisted Living","https://heritagevue.com","found","contact@heritagevue.com","https://heritagevue.com","contact@heritagevue.com"
"Elk Creek Assisted Living and Memory Care","https://www.civitasseniorliving.com","found","info@csrliving.com","https://www.civitasseniorliving.com","info@csrliving.com"
"Grandmother's House, Elder Care Home","https://www.grandmothershouse.care","found","miriammwilliamson@gmail.com","https://www.grandmothershouse.care","miriammwilliamson@gmail.com"
"Sage Oak of Colleyville","https://thesageoakofcolleyville.com","found","infocolleyville@thesageoak.com","https://thesageoakofcolleyville.com","infocolleyville@thesageoak.com"
"Clear Fork of Willow Park Assisted Living and Memory Care","https://www.civitasseniorliving.com","found","info@csrliving.com","https://www.civitasseniorliving.com","info@csrliving.com"
"Ellery Arbor Memory Care","https://www.elleryarborlife.com","no-email-found","","",""
"Home Instead","https://www.homeinstead.com","no-email-found","","",""
"The Jasper of Mansfield","https://www.sonidaseniorliving.com","no-email-found","","",""
"The Waterford at Plano","https://www.sonidaseniorliving.com","no-email-found","","",""
"HarborChase of Plano","https://www.harborchase.com","no-email-found","","",""
"Village on the Park Plano","https://villageontheparkplano.com","no-email-found","","",""
"Conservatory At Plano","https://conservatoryatplano.com","found","info@discoverymgt.com","https://conservatoryatplano.com/contact-us","info@discoverymgt.com"
"James L West Senior Day Program and Home Care","https://www.jameslwest.org","no-email-found","","",""
"Spring Creek Assisted Living","https://silvercareliving.com","no-email-found","","",""
"StoryPoint Plano","https://www.storypoint.com","no-email-found","","",""
"Prestonwood Court","https://prestonwoodcourt.com","no-email-found","","",""
"Mercy Home Assisted Living At Plano","https://mercyseniorliving.com","found","mercyhomellc@gmail.com","https://mercyseniorliving.com","mercyhomellc@gmail.com"
"RLG Dignified Living of Plano","http://www.rlgdignifiedliving.com","found","rlgdignifiedliving@gmail.com","http://www.rlgdignifiedliving.com","rlgdignifiedliving@gmail.com"
"Wyndham Court of Plano","https://silvercareliving.com","no-email-found","","",""
"Altius Senior Living | Elevated","https://altiusseniorliving.com","no-email-found","","",""
"Park Residences Plano 55+ Cottages & Apartments","https://www.parkresidences-plano.com","no-email-found","","",""
"Solstice Senior Living at Plano","https://solsticeseniorlivingplano.com","no-email-found","","",""
"The Oaks at Plano","https://theoaksatplano.com","no-email-found","","",""
"Great Life Assisted Living Home, LLC","https://www.greatlifeassistedliving.com","found","contact@greatlifeassistedliving.com","https://www.greatlifeassistedliving.com","contact@greatlifeassistedliving.com; contact@sansoxygen.com"
"Prestige Peak Care Homes","https://prestigepeakcarehomes.com","no-email-found","","",""
"DaySpring Senior Living","http://www.dayspringal.org","no-email-found","","",""
"Gemstone Senior Living at Creekside","https://www.gemstoneslc.com","found","ejemplo@misitio.com","https://www.gemstoneslc.com","ejemplo@misitio.com"
"Atria Canyon Creek","https://www.atriaseniorliving.com","no-email-found","","",""
"Brookdale Collin Oaks","https://www.brookdale.com","no-email-found","","",""
"The Auberge at Plano","https://aubergeplano.com","no-email-found","","",""
"The Outlook at Windhaven","https://theoutlookatwindhaven.org","no-email-found","","",""
"The Legacy Willow Bend","http://thelegacywb.org","no-email-found","","",""
"Life Care Center of Plano","https://lcca.com","no-email-found","","",""
"4 Seasons Senior Living","https://4seasonsseniorliving.com","found","example@mysite.com","https://4seasonsseniorliving.com/contact-us","example@mysite.com"
"Appletree Court","https://www.vitalityseniorliving.com","no-email-found","","",""
"The Healthcare Resort of Plano","http://thehealthcareresortplano.com","no-email-found","","",""
"Gardenia Living","https://gardenialiving.com","found","info@gardenialiving.com","https://gardenialiving.com","info@gardenialiving.com"
"Golden Horizon Senior Assisted Living of Plano, Tx","https://goldenhorizonseniorliving.com","found","email-goldenhorizonseniorlivingtx@gmail.com","https://goldenhorizonseniorliving.com","email-goldenhorizonseniorlivingtx@gmail.com"
"Accel at Willow Bend","http://www.accelwb.com","found","referrals@stonegatecic.com","http://www.accelwb.com","referrals@stonegatecic.com; trider@nctcog.org; admin@accelwb.com"
"Cariad at Village Creek","https://www.cariadvillagecreek.com","no-email-found","","",""
"Casa Maria Communities","http://casamariacommunities.com","found","business@casamariacommunities.com","http://casamariacommunities.com/contact-us","business@casamariacommunities.com"
"Carrara","https://cantexcc.com","no-email-found","","",""
"The Park in Plano","https://theparkinplano.com","no-email-found","","",""
"Alma Residential Care","http://www.almaresidential.com","found","info@almaresidential.com","http://www.almaresidential.com","info@almaresidential.com"
"ALLEGRO ASSISTED LIVING SERVICES","","no-website","","",""
"Visiting Angels Senior Home Care Plano","https://www.visitingangels.com","found","customersupport@visitingangels.com","https://www.visitingangels.com/contact","customersupport@visitingangels.com"
"Silver Creek Assisted Living","https://silvercareliving.com","no-email-found","","",""
"The Garden View Home","https://gardenviewplano.com","found","gardenviewhomes6@gmail.com","https://gardenviewplano.com","gardenviewhomes6@gmail.com; vkkimotho@yahoo.com"
"Evergreen At Plano","http://evergreenplano.com","no-email-found","","",""
"Mission Ridge Residential Care","https://www.missionridgeresidential.com","found","info@missionridgreresidential.com","https://www.missionridgeresidential.com/contact-us","info@missionridgreresidential.com"
"Grand Brook Memory Care of Allen at Twin Creeks","https://grandbrook.com","found","info@constantcare.com","https://grandbrook.com","info@constantcare.com"
"The Collinwood Care Center","https://collinwoodcarecenter.com","no-email-found","","",""
"Grand Brook Memory Care of McKinney","https://grandbrook.com","found","info@constantcare.com","https://grandbrook.com","info@constantcare.com"
"Harmony at Home Senior Care","https://harmonyathomeseniorcare.com","found","intake@harmonyathomeseniorcare.com","https://harmonyathomeseniorcare.com","intake@harmonyathomeseniorcare.com"
"Lynridge of Murphy Assisted Living & Memory Care","https://www.lynridgelife.com","no-email-found","","",""
"Village Green Memory Care Community McKinney","https://villagegreenalzheimerscare.com","found","info@villagegreenalzheimerscare.com","https://villagegreenalzheimerscare.com","info@villagegreenalzheimerscare.com"
"StoryPoint Carrollton at Josey Ranch","https://storypoint.com","no-email-found","","",""
"Twin Rivers at Collin Creek","https://twinriversatcollincreek.com","no-email-found","","",""
"Cerna Home Care | Plano","https://www.cernahomecare.com","no-email-found","","",""
"Assisting Hands Home Care - Frisco, Plano, TX & Surrounding Areas","https://assistinghands.com","no-email-found","","",""
"Graceful Freeland Care Homes","http://gracefulfreelandcarehomes.com","no-email-found","","",""
"Care Mountain","https://www.caremountain.com","found","inquiries@caremountain.com","https://www.caremountain.com","inquiries@caremountain.com"
"Seabrook assisted living group home LLC","http://seabrookassistedliving.com","found","draperguadalupe3@gmail.com","http://seabrookassistedliving.com","draperguadalupe3@gmail.com"
"Frisco Assisted Living","http://falmc.com","found","info@falmc.com","http://falmc.com","info@falmc.com; typesetit@att.net"
"FirstLight Home Care of Plano","https://www.firstlighthomecare.com","no-email-found","","",""
"The Ridge at Frisco","https://www.ridgeatfrisco.com","no-email-found","","",""
"Oxford Glen Sachse","https://oxfordseniorliving.com","no-email-found","","",""
"Sunrise of Frisco","https://www.sunriseseniorliving.com","no-email-found","","",""
"BeeHive Homes of Frisco","http://beehivehomes.com","found","mshosted@beehivehomes.com","http://beehivehomes.com","mshosted@beehivehomes.com"
"Mustang Creek Estates of Frisco","http://www.mce.care","found","allen.sales@mce.care","http://www.mce.care/contact","allen.sales@mce.care; burleson.sales@mce.care; flowermound.sales@mce.care; frisco.sales@mce.care; keller.sales@mce.care; sachse.sales@mce.care"
"Pegasus Landing of Saddlebrook","https://www.pegasusseniorliving.com","no-email-found","","",""
"The Grove at Frisco Commons","https://www.friscotexas.gov","no-email-found","","",""
"Our Cottage LLC - Fiddlers Green","http://www.ourcottage.com","found","info@ourcottage.com","http://www.ourcottage.com","info@ourcottage.com"
"Prairie Estates","https://cantexcc.com","no-email-found","","",""
"Parkview Assisted Living","https://www.watermarkcommunities.com","found","media@watermarkcommunities.com","https://www.watermarkcommunities.com/contact-us","media@watermarkcommunities.com"
"Village on the Park Stonebridge Ranch","https://villageontheparkstonebridge.com","no-email-found","","",""
"The Cottages at Chapel Creek","https://www.alzcottages.com","no-email-found","","",""
"Victoria Gardens of Frisco","https://vgfriscorehab.com","no-email-found","","",""
"Next Step Senior Living Locators","","no-website","","",""
"Atria Carrollton","https://www.atriaseniorliving.com","no-email-found","","",""
"Village on the Park McKinney","http://villageontheparkmckinney.com","no-email-found","","",""
"Overture Frisco","https://liveoverture.com","no-email-found","","",""
"Tribute Senior Living - Assisted Living & Memory Care Facility","https://www.tributeseniorliving.com","no-email-found","","",""
"Gems Residence","https://gemsresidence.com","no-email-found","","",""
"Stonemere Rehabilitation Center","https://stonemererehab.com","no-email-found","","",""
"Presidium at Edgestone","http://presidiumatedgestone.com","found","presidiumedgestone.propertywebsite.presidium@assist.rent","http://presidiumatedgestone.com","presidiumedgestone.propertywebsite.presidium@assist.rent"
"Frisco Lakes by Del Webb - Closed","https://www.delwebb.com","no-email-found","","",""
"Willow Bend Assisted Living & Memory Care","https://legendseniorliving.com","no-email-found","","",""
"Brookdale Stonebridge Ranch","https://www.brookdale.com","no-email-found","","",""
"Silver Oaks Assisted Living","http://www.silver-oaks.com","found","info@silver-oaks.com","http://www.silver-oaks.com/contact","info@silver-oaks.com"
"Stonefield Assisted Living and Memory Care","https://stonefieldseniorliving.com","no-email-found","","",""
"Home Helpers Home Care of Frisco, TX","https://homehelpershomecare.com","no-email-found","","",""
"FirstLight Home Care of Frisco","https://www.firstlighthomecare.com","no-email-found","","",""
"Liberty Senior Residential Care Homes","https://libertycarehomes.com","no-email-found","","",""
"Ladera at Little Elm","https://laderaliving.com","no-email-found","","",""
"Pioneer Ridge Gracious Retirement Living","https://seniorlivinginstyle.com","no-email-found","","",""
"Visiting Angels Senior Home Care McKinney","https://www.visitingangels.com","found","customersupport@visitingangels.com","https://www.visitingangels.com/contact","customersupport@visitingangels.com"
"Eagle Ridge Alzheimer's Special Care Center","https://sinceriseniorliving.com","no-email-found","","",""
"The Oxford Grand","https://oxfordseniorliving.com","no-email-found","","",""
"Sonoma House Assisted Living Alzheimer’s Care","https://www.jaybirdseniorliving.com","found","info@jaybirdsl.com","https://www.jaybirdseniorliving.com","info@jaybirdsl.com; name@email.com"
"Legend of McKinney","https://legendseniorliving.com","no-email-found","","",""
"Oxford Glen Carrollton","https://oxfordseniorliving.com","no-email-found","","",""
"Discovery Village Castle Hills","https://discoveryvillagecastlehills.seniorlivingnearme.com","found","info@discoverymgt.com","https://discoveryvillagecastlehills.seniorlivingnearme.com/contact-us","info@discoverymgt.com"
"Touchmark at Emerald Lake","https://touchmark.com","found","info-tgtx@touchmark.com","https://touchmark.com","info-tgtx@touchmark.com; name@email.com; tco-webcontactus@touchmark.com"
"BeeHive Homes of McKinney","https://beehivehomes.com","found","mshosted@beehivehomes.com","https://beehivehomes.com","mshosted@beehivehomes.com"
"The Ivy of McKinney","http://www.ivyofmckinney.com","found","crd@ivyofmckinney.com","http://www.ivyofmckinney.com","crd@ivyofmckinney.com"
"Anointed Senior Living","https://anointedseniorliving.com","found","salesmckinney@anointedseniorliving.com","https://anointedseniorliving.com","salesmckinney@anointedseniorliving.com"
"Hidden Springs of McKinney","https://www.hiddenspringsmckinney.com","no-email-found","","",""
"Golden Grace Assisted Living & Adult Day Activity","http://goldengracedahs.com","no-email-found","","",""
"Watermere McKinney","https://www.integratedseniorlifestyles.com","no-email-found","","",""
"Moonrise Residential Care","https://moonriseresidentialcare.com","found","hello@moonriseresidentialcare.com","https://moonriseresidentialcare.com/contact","hello@moonriseresidentialcare.com"
"Voise Foundation: Speaking Up for Dementia","https://www.voisefoundation.org","no-email-found","","",""
"Brythaven Senior Living","https://brythavenseniorliving.com","no-email-found","","",""
"The Victoria | Senior Homes McKinney, TX","https://victoriaseniorhomes.com","found","kenmitchell@kennethmitchellpc.com","https://victoriaseniorhomes.com","kenmitchell@kennethmitchellpc.com"
"Cariad at North Brook","https://cariadnorthbrook.com","found","life@cariadnorthbrook.com","https://cariadnorthbrook.com","life@cariadnorthbrook.com"
"Patriot Assisted Living McKinney","","no-website","","",""
"Emerald Cottages of Stonebridge","https://emeraldcottages.com","no-email-found","","",""
"Chateau McKinney","https://chateaumckinneyseniorliving.com","no-email-found","","",""
"Angels Retreat Assisted Living","","no-website","","",""
"Redbud Place","https://redbudplace.seniorlivingnearme.com","found","info@discoverymgt.com","https://redbudplace.seniorlivingnearme.com/contact-us","info@discoverymgt.com"
"Emeritus at Stonebridge Ranch","http://www.emeritus.com","no-email-found","","",""
"Grand Texan","","no-website","","",""
